1	Afar	aa
2	Afar	AA
3	Abkhazian	ab
4	Abkhazian	AB
5	Avestan	ae
6	Avestan	AE
7	Afrikaans	af
8	Afrikaans	AF
9	Akan	ak
10	Akan	AK
11	Amharic	am
12	Amharic	AM
13	Aragonese	an
14	Aragonese	AN
15	Arabic	ar
16	Arabic	AR
17	Assamese	as
18	Assamese	AS
19	Avaric	av
20	Avaric	AV
21	Aymara	ay
22	Aymara	AY
23	Azerbaijani	az
24	Azerbaijani	AZ
25	Bashkir	ba
26	Bashkir	BA
27	Belarusian	be
28	Belarusian	BE
29	Bulgarian	bg
30	Bulgarian	BG
31	Bihari languages	bh
32	Bihari languages	BH
33	Bislama	bi
34	Bislama	BI
35	Bambara	bm
36	Bambara	BM
37	Bengali	bn
38	Bengali	BN
39	Tibetan	bo
40	Tibetan	BO
41	Breton	br
42	Breton	BR
43	Bosnian	bs
44	Bosnian	BS
45	Catalan; Valencian	ca
46	Catalan; Valencian	CA
47	Chechen	ce
48	Chechen	CE
49	Chamorro	ch
50	Chamorro	CH
51	Corsican	co
52	Corsican	CO
53	Cree	cr
54	Cree	CR
55	Czech	cs
56	Czech	CS
57	Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic	cu
58	Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic	CU
59	Chuvash	cv
60	Chuvash	CV
61	Welsh	cy
62	Welsh	CY
63	Danish	da
64	Danish	DA
65	German	de
66	German	DE
67	Divehi; Dhivehi; Maldivian	dv
68	Divehi; Dhivehi; Maldivian	DV
69	Dzongkha	dz
70	Dzongkha	DZ
71	Ewe	ee
72	Ewe	EE
73	Greek; Modern (1453-)	el
74	Greek; Modern (1453-)	EL
75	English	en
76	English	EN
77	Esperanto	eo
78	Esperanto	EO
79	Spanish; Castilian	es
80	Spanish; Castilian	ES
81	Estonian	et
82	Estonian	ET
83	Basque	eu
84	Basque	EU
85	Persian	fa
86	Persian	FA
87	Fulah	ff
88	Fulah	FF
89	Finnish	fi
90	Finnish	FI
91	Fijian	fj
92	Fijian	FJ
93	Faroese	fo
94	Faroese	FO
95	French	fr
96	French	FR
97	Western Frisian	fy
98	Western Frisian	FY
99	Irish	ga
100	Irish	GA
101	Gaelic; Scottish Gaelic	gd
102	Gaelic; Scottish Gaelic	GD
103	Galician	gl
104	Galician	GL
105	Guarani	gn
106	Guarani	GN
107	Gujarati	gu
108	Gujarati	GU
109	Manx	gv
110	Manx	GV
111	Hausa	ha
112	Hausa	HA
113	Hebrew	he
114	Hebrew	HE
115	Hindi	hi
116	Hindi	HI
117	Hiri Motu	ho
118	Hiri Motu	HO
119	Croatian	hr
120	Croatian	HR
121	Haitian; Haitian Creole	ht
122	Haitian; Haitian Creole	HT
123	Hungarian	hu
124	Hungarian	HU
125	Armenian	hy
126	Armenian	HY
127	Herero	hz
128	Herero	HZ
129	Interlingua (International Auxiliary Language Association)	ia
130	Interlingua (International Auxiliary Language Association)	IA
131	Indonesian	id
132	Indonesian	ID
133	Interlingue; Occidental	ie
134	Interlingue; Occidental	IE
135	Igbo	ig
136	Igbo	IG
137	Sichuan Yi; Nuosu	ii
138	Sichuan Yi; Nuosu	II
139	Inupiaq	ik
140	Inupiaq	IK
141	Ido	io
142	Ido	IO
143	Icelandic	is
144	Icelandic	IS
145	Italian	it
146	Italian	IT
147	Inuktiut	iu
148	Inuktiut	IU
149	Japanese	ja
150	Japanese	JA
151	Javanese	jv
152	Javanese	JV
153	Georgian	ka
154	Georgian	KA
155	Kongo	kg
156	Kongo	KG
157	Kikuyu; Gikuyu	ki
158	Kikuyu; Gikuyu	KI
