1	2	Medellín	05001
2	2	Abejorral	05002
3	2	Abriaquí	05004
4	2	Alejandría	05021
5	2	Amagá	05030
6	2	Amalfi	05031
7	2	Andes	05034
8	2	Angelópolis	05036
9	2	Angostura	05038
10	2	Anorí	05040
11	2	Santa Fé De Antioquia	05042
12	2	Anzá	05044
13	2	Apartadó	05045
14	2	Arboletes	05051
15	2	Argelia	05055
16	2	Armenia	05059
17	2	Barbosa	05079
18	2	Belmira	05086
19	2	Bello	05088
20	2	Betania	05091
21	2	Betulia	05093
22	2	Ciudad Bolívar 	05101
23	2	Briceño	05107
24	2	Buriticá	05113
25	2	Cáceres	05120
26	2	Caicedo	05125
27	2	Caldas	05129
28	2	Campamento	05134
29	2	Cañasgordas	05138
30	2	Caracolí	05142
31	2	Caramanta	05145
32	2	Carepa	05147
33	2	El Carmen De Viboral	05148
34	2	Carolina	05150
35	2	Caucasia	05154
36	2	Chigorodó	05172
37	2	Cisneros	05190
38	2	Cocorná	05197
39	2	Concepción	05206
40	2	Concordia	05209
41	2	Copacabana	05212
42	2	Dabeiba	05234
43	2	Donmatías	05237
44	2	Ebéjico	05240
45	2	El Bagre 	05250
46	2	Entrerríos	05264
47	2	Envigado	05266
48	2	Fredonia	05282
49	2	Frontino	05284
50	2	Giraldo	05306
51	2	Girardota	05308
52	2	Gómez Plata 	05310
53	2	Granada	05313
54	2	Guadalupe	05315
55	2	Guarne	05318
56	2	Guatapé	05321
57	2	Heliconia	05347
58	2	Hispania	05353
59	2	Itagüí	05360
60	2	Ituango	05361
61	2	Jardín	05364
62	2	Jericó	05368
63	2	La Ceja 	05376
64	2	La Estrella 	05380
65	2	La Pintada 	05390
66	2	La Unión 	05400
67	2	Liborina	05411
68	2	Maceo	05425
69	2	Marinilla	05440
70	2	Montebello	05467
71	2	Murindó	05475
72	2	Mutatá	05480
73	2	Nariño	05483
74	2	Necoclí	05490
75	2	Nechí	05495
76	2	Olaya	05501
77	2	Peñol	05541
78	2	Peque	05543
79	2	Pueblorrico	05576
80	2	Puerto Berrío 	05579
81	2	Puerto Nare 	05585
82	2	Puerto Triunfo 	05591
83	2	Remedios	05604
84	2	Retiro	05607
85	2	Rionegro	05615
86	2	Sabanalarga	05628
87	2	Sabaneta	05631
88	2	Salgar	05642
89	2	San Andrés De Cuerquía	05647
90	2	San Carlos 	05649
91	2	San Francisco 	05652
92	2	San Jerónimo 	05656
93	2	San José De La Montaña 	05658
94	2	San Juan De Urabá	05659
95	2	San Luis 	05660
96	2	San Pedro De Los Milagros 	05664
97	2	San Pedro De Urabá	05665
98	2	San Rafael 	05667
99	2	San Roque 	05670
100	2	San Vicente Ferrer	05674
101	2	Santa Bárbara 	05679
102	2	Santa Rosa De Osos	05686
103	2	Santo Domingo 	05690
104	2	El Santuario 	05697
105	2	Segovia	05736
106	2	Sonsón	05756
107	2	Sopetrán	05761
108	2	Támesis	05789
109	2	Tarazá	05790
110	2	Tarso	05792
111	2	Titiribí	05809
112	2	Toledo	05819
113	2	Turbo	05837
114	2	Uramita	05842
115	2	Urrao	05847
116	2	Valdivia	05854
117	2	Valparaíso	05856
118	2	Vegachí	05858
119	2	Venecia	05861
120	2	Vigía Del Fuerte	05873
121	2	Yalí	05885
122	2	Yarumal	05887
123	2	Yolombó	05890
124	2	Yondó	05893
125	2	Zaragoza	05895
126	4	Barranquilla	08001
127	4	Baranoa	08078
128	4	Campo De La Cruz	08137
129	4	Candelaria	08141
130	4	Galapa	08296
131	4	Juan De Acosta	08372
132	4	Luruaco	08421
133	4	Malambo	08433
134	4	Manatí	08436
135	4	Palmar De Varela	08520
136	4	Piojó	08549
137	4	Polonuevo	08558
138	4	Ponedera	08560
139	4	Puerto Colombia 	08573
140	4	Repelón	08606
141	4	Sabanagrande	08634
142	4	Sabanalarga	08638
143	4	Santa Lucía 	08675
144	4	Santo Tomás 	08685
145	4	Soledad	08758
146	4	Suan	08770
147	4	Tubará	08832
148	4	Usiacurí	08849
149	5	Bogotá, D.c. 	11001
150	6	Cartagena De Indias	13001
151	6	Achí	13006
152	6	Altos Del Rosario	13030
153	6	Arenal	13042
154	6	Arjona	13052
155	6	Arroyohondo	13062
156	6	Barranco De Loba	13074
157	6	Calamar	13140
158	6	Cantagallo	13160
159	6	Cicuco	13188
160	6	Córdoba	13212
161	6	Clemencia	13222
162	6	El Carmen De Bolívar	13244
163	6	El Guamo 	13248
164	6	El Peñón 	13268
165	6	Hatillo De Loba	13300
166	6	Magangué	13430
167	6	Mahates	13433
168	6	Margarita	13440
169	6	María La Baja	13442
170	6	Montecristo	13458
171	6	Mompós	13468
172	6	Morales	13473
173	6	Norosí	13490
174	6	Pinillos	13549
175	6	Regidor	13580
176	6	Río Viejo 	13600
177	6	San Cristóbal 	13620
178	6	San Estanislao 	13647
179	6	San Fernando 	13650
180	6	San Jacinto 	13654
181	6	San Jacinto Del Cauca	13655
182	6	San Juan Nepomuceno	13657
183	6	San Martín De Loba	13667
184	6	San Pablo 	13670
185	6	Santa Catalina 	13673
186	6	Santa Rosa 	13683
187	6	Santa Rosa Del Sur	13688
188	6	Simití	13744
189	6	Soplaviento	13760
190	6	Talaigua Nuevo 	13780
191	6	Tiquisio	13810
192	6	Turbaco	13836
193	6	Turbaná	13838
194	6	Villanueva	13873
195	6	Zambrano	13894
196	7	Tunja	15001
197	7	Almeida	15022
198	7	Aquitania	15047
199	7	Arcabuco	15051
